,Unnamed: 0,Title,Square,Price,Room,Floor,Building floor,Renovation,Material,Address,Lift,Bathroom,Washing machine,TV,Microwave oven,Playground,Furniture,Refrigerator,Air conditioner,Wifi,Cable,Security,Video surveillance,Parking space
50,50,3-комнатная квартира на продажу,82 м²,115 000 у.е.,3,4,4,Евроремонт,Кирпичный,"город Ташкент, Мирабадский район, махаллинский сход граждан Мингурик, улица Тараса Шевченко",1,0,1,1,1,1,1,1,1,1,1,0,0,1
51,51,2-комнатная квартира на продажу,55 м²,83 999 у.е.,2,6,9,Евроремонт,Кирпичный,"город Ташкент, Чиланзарский район, махаллинский сход граждан Бешчинар",1,1,1,1,0,1,1,1,1,1,1,1,0,1
52,52,4-комнатная квартира на продажу,87 м²,85 000 у.е.,4,3,4,Средний,Кирпичный,"город Ташкент, Алмазарский район, махаллинский сход граждан Шодиёна",0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,53,2-комнатная квартира на продажу,60 м²,67 800 у.е.,2,2,9,Евроремонт,Монолитный,"город Ташкент, Юнусабадский район, 12-й квартал, 7-й проезд Кулолкургон",1,0,0,0,0,0,0,0,0,0,0,0,0,0
54,54,3-комнатная квартира на продажу,63 м²,80 000 у.е.,3,2,5,Средний,Панельный,"город Ташкент, Чиланзарский район, квартал Ц, улица Мехр",0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,55,3-комнатная квартира на продажу,82 м²,81 000 у.е.,3,2,8,Черновая отделка,Кирпичный,"город Ташкент, Яшнободский район, махаллинский сход граждан Семург, улица Паркент",1,0,0,0,0,0,0,0,0,0,0,0,0,0
56,56,1-комнатная квартира на продажу,34 м²,68 500 у.е.,1,3,8,Евроремонт,Кирпичный,"город Ташкент, Яккасарайский район, махаллинский сход граждан Дилбулак, улица Шота Руставели",1,0,0,0,0,0,0,0,0,0,0,0,0,0
57,57,2-комнатная квартира на продажу,50 м²,69 555 у.е.,2,3,4,Евроремонт,Панельный,"город Ташкент, Чиланзарский район, махаллинский сход граждан Кичик Хирмантепа",0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,58,3-комнатная квартира на продажу,80 м²,310 000 у.е.,3,4,11,Евроремонт,Блочный,"город Ташкент, Мирабадский район, жилой комплекс Mirabad Avenue, 2-й проезд Катта Миробод",1,0,0,0,0,0,0,0,0,0,0,0,0,0
59,59,2-комнатная квартира на продажу,45 м²,60 000 у.е.,2,3,4,Требует ремонта,Панельный,"город Ташкент, Чиланзарский район, махаллинский сход граждан Катта Чиланзар-2, улица Арнасай",0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,60,5-комнатная квартира на продажу,228 м²,230 000 у.е.,5,9,10,Черновая отделка,Кирпичный,"город Ташкент, Юнусабадский район, махаллинский сход граждан Минор",1,0,0,0,0,0,0,0,0,0,0,0,0,0
61,61,2-комнатная квартира на продажу,45 м²,85 000 у.е.,2,6,9,Евроремонт,Кирпичный,"город Ташкент, Яккасарайский район, махаллинский сход граждан Богсарай, улица Мирабад",1,0,0,0,0,0,0,0,0,0,0,0,0,0
62,62,2-комнатная квартира на продажу,53 м²,56 000 у.е.,2,3,4,Средний,Панельный,"город Ташкент, Учтепинский район, махаллинский сход граждан Багабад",0,1,0,0,0,1,1,0,0,1,1,0,0,1
63,63,3-комнатная квартира на продажу,109 м²,215 000 у.е.,3,7,10,Евроремонт,Кирпичный,"город Ташкент, Яккасарайский район, жилой комплекс Милано",1,0,0,0,0,0,0,0,0,0,0,0,0,0
64,64,4-комнатная квартира на продажу,140 м²,270 000 у.е.,4,6,10,Евроремонт,Кирпичный,"город Ташкент, Чиланзарский район, махаллинский сход граждан Чиланзар, улица Мукими",1,0,0,0,0,0,0,0,0,0,0,0,0,0
65,65,4-комнатная квартира на продажу,99 м²,220 000 у.е.,4,4,11,Евроремонт,Кирпичный,"город Ташкент, Мирзо-Улугбекский район, махаллинский сход граждан Аккурган, улица Урицкого",1,0,0,0,0,0,0,0,0,0,0,0,0,0
66,66,4-комнатная квартира на продажу,173 м²,480 000 у.е.,4,4,8,Евроремонт,Кирпичный,"город Ташкент, Мирабадский район, махаллинский сход граждан Лолазар, улица Айбека",1,0,0,0,0,0,0,0,0,0,0,0,0,0
67,67,2-комнатная квартира на продажу,65 м²,108 000 у.е.,2,4,4,Евроремонт,Кирпичный,"город Ташкент, Яккасарайский район, махаллинский сход граждан Юнус Раджаби, улица Богсарой",0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,68,2-комнатная квартира на продажу,51 м²,81 000 у.е.,2,3,9,Евроремонт,Кирпичный,"город Ташкент, Мирзо-Улугбекский район, массив Буз-1, проезд Каландар",1,0,0,0,0,0,0,0,0,0,0,0,0,0
69,69,2-комнатная квартира на продажу,65 м²,105 000 у.е.,2,3,9,Евроремонт,Панельный,"город Ташкент, Мирабадский район, махаллинский сход граждан Афрасиаб, улица Шахрисабз",1,0,0,0,0,0,0,0,0,0,0,0,0,0
70,70,2-комнатная квартира на продажу,57 м²,82 000 у.е.,2,3,4,Средний,Другое,"город Ташкент, Юнусабадский район, махаллинский сход граждан Богиэрам",0,1,0,0,0,0,0,0,0,0,0,0,0,0
71,71,5-комнатная квартира на продажу,112 м²,105 000 у.е.,5,3,5,Средний,Панельный,"город Ташкент, Юнусабадский район, махаллинский сход граждан Бегубор",0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,72,2-комнатная квартира на продажу,76 м²,89 000 у.е.,2,9,9,Средний,Блочный,"город Ташкент, Мирабадский район, махаллинский сход граждан Шараф Рашидов, улица Чимкент",1,0,0,0,0,0,0,0,0,0,0,0,0,0
73,73,2-комнатная квартира на продажу,54 м²,75 000 у.е.,2,2,3,Средний,Кирпичный,"город Ташкент, Яккасарайский район, махаллинский сход граждан Юнус Раджаби, площадь Космонавтов",0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,74,5-комнатная квартира на продажу,1 100 м²,150 000 у.е.,5,1,1,Средний,Кирпичный,"город Ташкент, Бектемирский район, Йик-Ата, 2-й проезд улица Фазилат",0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,75,4-комнатная квартира на продажу,125 м²,200 000 у.е.,4,1,5,Евроремонт,Кирпичный,"город Ташкент, Чиланзарский район, махаллинский сход граждан Навбахор, улица Мехр",0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,76,3-комнатная квартира на продажу,70 м²,45 000 у.е.,3,4,4,Средний,Кирпичный,"Ташкентская область, Янгиюль, Самаркандская улица",0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,77,2-комнатная квартира на продажу,30 м²,41 250 у.е.,2,1,4,Евроремонт,Кирпичный,"город Ташкент, Учтепинский район, махаллинский сход граждан Найман",0,1,0,0,0,1,1,0,0,1,1,0,0,1
78,78,3-комнатная квартира на продажу,66 м²,78 000 у.е.,3,3,4,Требует ремонта,Кирпичный,"город Ташкент, Мирзо-Улугбекский район, махаллинский сход граждан Олий Химмат, улица Зиёлилар",0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,79,4-комнатная квартира на продажу,90 м²,169 000 у.е.,4,8,9,Авторский проект,Панельный,"город Ташкент, Мирабадский район, массив Госпитальный",1,1,1,1,1,1,1,1,1,1,1,0,0,0
80,80,3-комнатная квартира на продажу,48 м²,68 000 у.е.,3,2,4,Евроремонт,Панельный,"город Ташкент, Чиланзарский район, махаллинский сход граждан Заркурган, улица Ботирма",0,1,1,1,1,1,1,1,1,1,1,0,1,1
81,81,2-комнатная квартира на продажу,52 м²,58 500 у.е.,2,4,5,Средний,Кирпичный,"город Ташкент, Учтепинский район, 26-й квартал",0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,82,2-комнатная квартира на продажу,57 м²,63 000 у.е.,2,1,4,Требует ремонта,Другое,"город Ташкент, Алмазарский район, махаллинский сход граждан Алтынсай",0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,83,1-комнатная квартира на продажу,38 м²,53 500 у.е.,1,3,4,Евроремонт,Панельный,"город Ташкент, Юнусабадский район, 1-й квартал, проспект Амира Темура",0,1,1,1,0,0,0,1,1,1,0,0,0,0
84,84,3-комнатная квартира на продажу,75 м²,125 000 у.е.,3,3,4,Евроремонт,Другое,"город Ташкент, Яккасарайский район, махаллинский сход граждан Ракат, улица Шота Руставели",0,0,0,1,1,0,1,1,1,0,0,0,0,1
85,85,2-комнатная квартира на продажу,60 м²,135 000 у.е.,2,4,4,Евроремонт,Кирпичный,"город Ташкент, Мирабадский район, махаллинский сход граждан Айбек, улица Шахрисабз",0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,86,1-комнатная квартира на продажу,37 м²,65 000 у.е.,1,4,9,Евроремонт,Блочный,"город Ташкент, Яккасарайский район, махаллинский сход граждан Хамид Сулаймонов, улица Шота Руставели",1,0,0,0,0,0,0,0,0,0,0,0,0,0
87,87,4-комнатная квартира на продажу,112 м²,115 000 у.е.,4,7,9,Средний,Блочный,"город Ташкент, Мирзо-Улугбекский район, махаллинский сход граждан Нур, улица Шастри",1,0,0,0,0,0,0,0,0,0,0,0,0,0
88,88,3-комнатная квартира на продажу,78 м²,79 500 у.е.,3,4,5,Евроремонт,Панельный,"город Ташкент, Юнусабадский район, 10-й квартал",0,1,0,0,0,1,1,0,1,1,1,0,0,0
89,89,2-комнатная квартира на продажу,50 м²,75 000 у.е.,2,3,4,Евроремонт,Кирпичный,"город Ташкент, Юнусабадский район, махаллинский сход граждан Адолат",0,1,1,1,1,1,1,1,1,1,1,1,1,1
90,90,2-комнатная квартира на продажу,50 м²,54 500 у.е.,2,2,4,Требует ремонта,Панельный,"город Ташкент, Юнусабадский район, 7-й квартал",0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,91,3-комнатная квартира на продажу,60 м²,82 000 у.е.,3,4,5,Авторский проект,Кирпичный,"город Ташкент, Чиланзарский район, махаллинский сход граждан Лутфий, площадь Актепа",0,0,1,1,0,1,1,1,1,1,1,0,1,1
92,92,1-комнатная квартира на продажу,33.23 м²,36 000 у.е.,1,2,3,Средний,Кирпичный,"город Ташкент, Яшнободский район, махаллинский сход граждан Ахмад Яссавий, улица Алимкент",0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,93,2-комнатная квартира на продажу,72 м²,82 000 у.е.,2,2,3,Средний,Кирпичный,"город Ташкент, Яшнободский район, махаллинский сход граждан Гузал, улица Гузаль",0,1,1,1,1,1,1,1,1,1,0,0,0,1
94,94,3-комнатная квартира на продажу,65 м²,85 000 у.е.,3,4,5,Евроремонт,Монолитный,"город Ташкент, Чиланзарский район, махаллинский сход граждан Навбахор",0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,95,3-комнатная квартира на продажу,152 м²,215 000 у.е.,3,3,9,Евроремонт,Панельный,"город Ташкент, Мирабадский район, махаллинский сход граждан Айбек, улица Айбека",1,0,0,0,0,0,0,0,0,0,0,0,0,0
96,96,3-комнатная квартира на продажу,64 м²,72 000 у.е.,3,1,3,Евроремонт,Панельный,"город Ташкент, Учтепинский район, 13-й квартал",0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,97,4-комнатная квартира на продажу,126 м²,175 000 у.е.,4,5,6,Черновая отделка,Кирпичный,"город Ташкент, Мирзо-Улугбекский район, махаллинский сход граждан Лашкарбеги, улица Кары-Ниязи",1,0,0,0,0,0,0,0,0,0,0,0,0,0
98,98,4-комнатная квартира на продажу,105 м²,100 000 у.е.,4,10,10,Требует ремонта,Кирпичный,"город Ташкент, Яшнободский район, махаллинский сход граждан Машинасозлар, улица Махтумкули",1,0,0,0,0,0,0,0,0,0,0,0,0,0
99,99,3-комнатная квартира на продажу,75 м²,80 000 у.е.,3,3,4,Средний,Кирпичный,"город Ташкент, Учтепинский район, махаллинский сход граждан Нурабад, улица Маданият",0,1,0,0,0,1,0,0,0,1,1,0,1,1
100,100,2-комнатная квартира на продажу,44 м²,42 000 у.е.,2,5,10,Средний,Блочный,"город Ташкент, Янгихаётский район, махаллинский сход граждан Хушнуд, улица Кипчак",1,1,0,0,0,0,1,0,1,1,0,0,1,0
101,101,1-комнатная квартира на продажу,37 м²,44 000 у.е.,1,2,7,Средний,Монолитный,"город Ташкент, Янгихаётский район, махаллинский сход граждан Янги Чоштепа, улица Узар",1,1,0,1,0,1,1,1,1,1,1,1,1,1
102,102,3-комнатная квартира на продажу,79 м²,77 000 у.е.,3,5,5,Евроремонт,Кирпичный,"город Ташкент, Мирзо-Улугбекский район, махаллинский сход граждан Минглола",0,1,1,1,0,0,1,0,1,0,1,0,0,0
103,103,4-комнатная квартира на продажу,86 м²,92 000 у.е.,4,1,9,Авторский проект,Панельный,"город Ташкент, Яшнободский район, махаллинский сход граждан Яшнобод, улица Лисунова",1,0,0,0,0,0,0,0,0,0,0,0,0,0
104,104,2-комнатная квартира на продажу,47 м²,50 200 у.е.,2,4,4,Требует ремонта,Панельный,"город Ташкент, Чиланзарский район, 8-й квартал",0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,105,2-комнатная квартира на продажу,47 м²,54 600 у.е.,2,2,4,Средний,Панельный,"город Ташкент, Учтепинский район, махаллинский сход граждан Кургантепа",0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,106,2-комнатная квартира на продажу,57 м²,65 000 у.е.,2,4,4,Евроремонт,Другое,"город Ташкент, Сергелийский район, махаллинский сход граждан Нилуфар",0,0,1,1,0,1,1,0,1,0,1,0,0,1
107,107,3-комнатная квартира на продажу,65 м²,78 000 у.е.,3,1,4,Средний,Кирпичный,"город Ташкент, Мирабадский район, махаллинский сход граждан Банокатий, улица Абу Сулеймана Банокати",0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,108,3-комнатная квартира на продажу,82 м²,61 000 у.е.,3,3,14,Требует ремонта,Панельный,"город Ташкент, Сергелийский район, махаллинский сход граждан Янги Сергели",1,1,0,0,0,1,0,0,0,0,0,0,0,0
109,109,2-комнатная квартира на продажу,50 м²,52 000 у.е.,2,4,4,Средний,Панельный,"город Ташкент, Юнусабадский район, 15-й квартал",0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,110,3-комнатная квартира на продажу,75 м²,85 000 у.е.,3,9,9,Авторский проект,Панельный,"город Ташкент, Мирзо-Улугбекский район, махаллинский сход граждан Лашкарбеги, проспект Мустакиллик",1,0,0,0,0,0,0,0,0,0,0,0,0,0
111,111,3-комнатная квартира на продажу,78 м²,78 000 у.е.,3,4,4,Средний,Кирпичный,"город Ташкент, Мирзо-Улугбекский район, махаллинский сход граждан Аль-Фараби, улица Ахмада Югнаки",0,0,1,1,1,1,1,1,1,0,1,0,0,1
112,112,4-комнатная квартира на продажу,92 м²,83 000 у.е.,4,3,5,Средний,Панельный,"город Ташкент, Мирабадский район, махаллинский сход граждан Алтынкуль, улица Абдурауфа Фитрата",0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,113,4-комнатная квартира на продажу,150 м²,170 000 у.е.,4,6,9,Авторский проект,Кирпичный,"город Ташкент, Юнусабадский район, 17-й квартал",1,1,1,1,1,1,1,1,1,1,1,1,1,1
114,114,1-комнатная квартира на продажу,21 м²,28 000 у.е.,1,2,5,Средний,Кирпичный,"город Ташкент, Мирзо-Улугбекский район, махаллинский сход граждан Сайрам, 5-й проезд Сайрам",0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,115,2-комнатная квартира на продажу,51 м²,49 000 у.е.,2,4,4,Требует ремонта,Панельный,"город Ташкент, Юнусабадский район, микрорайон ТашГРЭС",0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,116,3-комнатная квартира на продажу,80 м²,70 500 у.е.,3,5,5,Средний,Панельный,"город Ташкент, Мирабадский район, махаллинский сход граждан Истиклолабад, 5-й проезд Эски-Сарикул",0,0,0,0,0,0,0,0,0,0,0,0,0,0
